Descriptive_JobTitle,CL,skills,rec_city,Rec_location,Actual_billrate,predicted_billrate
Backend Engineer,Medium,"Apache,Architecture,Focus,Java,Management,MySQL,Oracle,SOA,Shell,SQL,Tomcat",Sunnyvale,California,124.09,112.1453
Business Analyst,High,"Business Analyst,Marketing,Program Management,Compliance",Charlotte,North Carolina,102.0,77.54969999999999
QA Analyst,Medium,"Management,Teradata,UNIX",Charlotte,North Carolina,85.79,77.92139999999999
Scrum Master,Low,"COM,Direct3D",Monterey Park,California,70.0,91.01189999999998
Business Analyst,Medium,"Business Analyst,Compliance,Management,Microsoft Excel",San Antonio,Texas,85.5,74.37600000000002
Project Manager,High,"agile,all,builds,certification,Concepts,Coordination,Cost,creativity,degree,field,financial,Financials,Forecast,head,Information,IS,IT,Job,knowledge,Landing,LEAN,maintains,management,manager,members,Modeling,monitors,OR,Other,Plan,PMP,Portfolio,practices,Process,Program,Project,projections,relationships,Reports,require,responsible,Status,Team,technology,TRACKING,transactional,updates,variance,vendors,with,working",Cary,North Carolina,78.85,79.6022
DBA,Medium,"Architecture,Data Modeling,Data Warehouse,Database Design,DB2,DBA,ETL,SQL,Teradata",Charlotte,North Carolina,85.5,84.99690000000002
Hadoop Developer,Medium,Python,Charlotte,North Carolina,92.39,91.46909999999998
Lead Java Develoeper,Medium,"Architecture,Management,Automation",Minneapolis,Minnesota,100.0,85.88640000000001
Full Stack Engineer,Medium,"Architecture,CSS,DB2,HTML,Java,JavaScript,Networking,OOP,Python,Software Engineer,Web Development,Wireless",San Jose,California,115.0,88.85099999999998
BUSINESS SYSTEMS CONSULTANT,Medium,"Systems Analysis, Training, Business Objects",Minneapolis,Minnesota,57.0,57.842
Cloud Engineer,High,"Account Management,Azure",Irving,Texas,110.0,81.64569999999999
Workday HR Integration,Medium,"Architecture,SOA,Technical Support,XSL,XSLT",Regina,Saskatchewan,85.5,110.27380000000002
Recruiter III,Medium,"Chemistry,COM,Management,Microsoft Excel,Microsoft Office,Microsoft Outlook,Microsoft Word,Recruiting,Research",Herndon,Virginia,88.51,83.6073
Backend Developer,Medium,"Architecture,COM,Focus,Hibernate,JavaScript,Management,Product Management,Quality Assurance,SAN,SOA,SOAP,Software Development,Spring,SQL,WAN,XML",San Francisco,California,112.0,94.20349999999996
Technical Project Manager,Medium,Microsoft PowerPoint,Manhattan,New York,100.0,85.9258
APPS SYSTEMS ENGINEER,Medium,".NET, Architecture, Compliance, Management",Charlotte,North Carolina,80.5,78.1045
SFDC Lead,High,"Architecture,COM",Fort Mill,South Carolina,114.0,97.0211
Salesforce Developer,Medium,"documentation,api,architecture,integration,leadership,agile,design, SFDC, Network, Informatica,Fault tolerance, multithreading,functions, Strategic, ESB, Mulesoft,Contribute, Project,, and, tools, OR,Test Driven Develop, Execution, Code, product, develop,Automation,ACCEPTANCE,Analytical,Analyze,Apex,APIs,application,Automated,Batch,bill,Bulk,Certifications,ci,Clean,Cloud,clouds,commercial,config,Coordinate,credit,Critical,Cucumber,Data,deliver,Deployment,designs,Developer,Development,Distributed,Document,Driven,engineer,environment,Event,excellence,Flow,implementations,implementing,internal,IT,Kanban,knowledge,LEAD,Legacy,live,major,Monitoring,MVP,Plan,platforms,PowerCenter,Process,Projects,query,regulated,Relationship,Requirements,rest,role,SAFe,Salesforce,services,SOAP,solution,Solutions,stack,Stakeholders,State,support,supporting,tactical,Target,Teamwork,technical,tests,Time,Underwriting,US,Web,wiki,with,acquire,Architects,an,AS,CAST,BE,BAS,builds,Decision,developers,Integrations,domain,FIT,Key,meet,Fulfillment,Interfaces,Partners,pressure,innovative,positive,Scalable,Secure,work,Rate,Rating,timeline,Tolerance,this,CUrrent,IS,all,managers,Builder,thorough,Quick, Unit,Patterns,Commercial credit, Business,strong attention to,Integration tools,Unit Tests,Technical Implementa, SQL,Objectives,Other,Test,Tibco,expert",Charlotte,North Carolina,105.0,92.86050000000002
Mobile Tester,Medium,Management,Charlotte,North Carolina,82.0,84.95620000000001
Java Developer,High,"Engineering,Linux,Management,Microsoft Access,Software Development",Vienna,Virginia,90.0,105.747
Sr Java/Scala Developer,Medium,Python,Charlotte,North Carolina,99.74,91.44479999999994
Full Stack Java Developer,Medium,Java,Brookfield,New York,85.5,84.05590000000001
Scrum Master,High,"Management,Project Management,Software Development",Reston,Virginia,85.5,91.0741
DevOps Engineer II,Medium,"Automation,Cloud Computing,Engineering,Linux,Management,Perl,Python,SQL,Systems Engineering,Tomcat,UNIX",Ann Arbor,Michigan,85.5,101.22920000000003
Systems Analyst Lead,High,"Architecture,Ariba,Focus,Management,Procurement,SAP,SDLC,SQL",Seattle,Washington,122.3,102.56202499999992
Architect,Medium,"Architecture,DB2,Engineering,ETL",Chicago,Illinois,85.5,98.84660000000004
BUSINESS SYSTEMS CONSULTANT 4,Medium,"Compliance,Engineering,Focus,Microsoft Excel,Microsoft Office,Microsoft Outlook,Microsoft Visio,Microsoft Word,Project Management,Research,Systems Analysis,Training",Winston-Salem,North Carolina,57.0,73.34389999999999
Hadoop Administrator,Medium,"COM,Linux,Microsoft Access,UNIX",Austin,Texas,72.0,78.7087
ServiceNow Discovery,High,"Active Directory,Apache,Azure,Firewall,IIS,JavaScript,LDAP,Management,Microsoft Access,Powershell,SCCM,SNMP,SOA,SOAP,SS7,UNIX,VMware,WebSphere,Windows 2000,Windows 2003,Windows 98,XML",Plano,Texas,130.0,100.0947
Program Manager � Business Process & Platform Transformation,High,"Direct3D,er,ERP,Management,Oracle,Project Management,SAP,Win32,Windows 2000,Windows 98",Glenview,Illinois,130.0,90.9482
.Net Developer,Medium,".NET,ASP,ASP.NET,C#,CRM,CSS,Direct3D,HTML,J2ME,Java,JavaScript,JSP,Oracle,Servlets,WCF,WPF",New York,New York,101.67,86.55400000000003
SAP BW Developer (Biz Warehouse) with ABAP,Medium,SAP,Houston,Texas,91.81,100.08790000000003
iOS Engineer,Medium,"Business Analyst,Software Engineer,SS7",Irving,Texas,100.0,93.2797
Java Developer,High,"CSS,DHTML,HTML,JavaScript,Oracle,Oracle Database,Software Development,XHTML",Charlotte,North Carolina,80.5,88.552
Security & Risk Analyst - III,High,"Compliance,Focus,Microsoft Access,Quality Assurance,Risk Management,SOX",Foster City,California,119.05,105.08460000000002
Java Developer,Medium,"C#,C++,hadoop,Python,Engineering",Sunnyvale,California,128.7,106.99900000000004
IT Business Analyst,Medium,SQL,Charlotte,North Carolina,76.06,81.55020000000006
Project Manager Senior,Medium,"ABAP,AIX,Cloud Computing,Direct3D,Engineering,Java,Linux,Management,STE",Montreal,Quebec,85.5,84.96560000000001
Agile Scrum Master,Medium,Software Development,Charlotte,North Carolina,105.0,105.013
Network/Operations - Desktop Support Engineer,Low,"Active Directory,ITIL,J2ME,LAN,Management,MCP,MCSA,MCSE,Microsoft Access,Microsoft Office,Microsoft Windows,Networking,Technical Support,Training,VPN,Windows 2000,Windows 2003,Windows 98",Edmonton,Alberta,41.35,86.38850000000001
Systems Engineer - Junior,Low,Architecture,Austin,Texas,45.0,77.22256666666668
Product Manager,Medium,"COM,Direct3D,Focus,Management",Charlotte,North Carolina,99.5,85.29600000000003
Business Analyst,High,"Focus,J2ME,Java,Microsoft Office,Research,UML,Business Analyst",Chicago,Illinois,90.0,76.87019999999998
Java Developer,Medium,"Java,JavaScript,JMS,JSP,SOA,SOAP,Spring,SQL,UNIX",Hoffman,Illinois,91.75,92.26980000000002
Automation Engineer III,Medium,"Active Directory,Automation,DNS,Engineering,LDAP,Management,Powershell,Python,SAN,SCCM,Shell,Software Development,SQL,VMware",Chicago,Illinois,86.69,104.7257
Product Engineering - Product Engr III,High,"Automation,C++,Data Analysis,LabVIEW,Marketing,PCB Design,Python",Austin,Texas,85.5,67.8194
IT - Scrum Master II,Medium,"e-commerce,Program Management",Seattle,Washington,90.63,69.15420000000003
Sr. Angular Developers,Medium,".NET,CSS,HTML,J2ME,Java,SAS,Software Development,SQL,SQL Server,Visual Studio",Denver,Colorado,85.5,97.8946
Application Developer,Medium,"Cloud Computing,Management,MySQL,Oracle,PL/SQL,Spring,SQL,UNIX,Windows 2000,Windows 2003,Windows 98",Bellevue,Washington,70.0,83.1788
scrum master,Medium,"management,integration,agile,scrum, end-to-end, Project,, Execution, Delivery,Impediments, product,assurance,ceremonies,certified,change,Communicator,contact,defect,deliver,Functional,LEAD,master,material,meetings,Methodology,mitigation,order,owner,perform,PM,Process,Recent,Requirements,Resources,services,solution,Team,technical,with,AS,Key,light,Partners,manages,Leads,part,Progress,Verbal,work,Rating,timeline,Daily,IS,responsible,all,Various,financial, Business,Daily Scrum meetings,Other",Pennington,New Jersey,111.3,97.9524
.NET Developer,Medium,"C#,Software Development,SQL",Pennington,New Jersey,83.56,89.2208
Scrum Master,Medium,"Direct3D,Quality Control,Six Sigma",Charlotte,North Carolina,105.0,98.5277
ETL Developer,Medium,"Azure,Data Analysis,DB2,ETL,Oracle,RDBMS,SQL",Austin,Texas,125.0,96.723
Cyber Security Engineer,Medium,"Checkpoint,CISSP,Intrusion,Networking,Solaris,Systems Administration,TCP/IP,UNIX,WAN,Windows 2000,Windows 2003,Windows 98,Information Security",Bellevue,Washington,85.5,86.6284
Test engineer,Medium,"Flash,Focus,Python,SAN,SAS,SS7,Windows 2000,Windows 2003,Windows 98",San Jose,California,85.5,84.0758
IT Planner,Medium,"Management,Microsoft Excel,Microsoft Project",San Francisco,California,85.5,80.4261
Quality Platform Engineer,Medium,"Apple,Automation,Cucumber,Elastic Search,Gatling,JBehave,Jira,JMeter,Load Testing,Management,Marketing,Performance Testing,Python,ReadyAPI/SoapUI,RSpec,Ruby,Scala,Software Testing,Stress Testing",Portland,Oregon,85.5,99.2615
AIML Developer,Medium,"Architecture,Automation,Data Analysis,Engineering,Linux,Microsoft Access,Shell,Teradata,UNIX",Charlotte,North Carolina,80.5,85.17179999999995
Marketing Coordinator,Medium,Training,Boulder,Colorado,70.0,71.49189999999997
Java Developer,High,"Apache,Architecture,COM,CSS,DHTML,EJB,HTML,JDBC,JSP,RDBMS,Servlets,Shell,SOA,SOAP,Software Development,Spring,SQL,Struts,Tomcat,WebLogic,WebServices,WebSphere,XML",Ashburn,Virginia,85.5,86.50439999999999
ASIC Design Engineer,High,"Architecture,Cloud Computing,Management,Perl",Santa Clara,California,125.0,104.95949999999998
BUSINESS INITIATIVES CNSLTNT 3,High,"Architecture,Project Management,Quality Center",Charlotte,North Carolina,89.0,84.5123
BUSINESS PROCESS CONSULTANT,Medium,"Engineering, Six Sigma, Management, SQL",Charlotte,North Carolina,85.5,79.23589999999999
Security Specialist-Consultant,Medium,ISO 9001,Portland,Oregon,85.5,89.3417
Sr Automation Tester,Medium,"CSS,SQL,Automation",Pennington,New Jersey,85.79,92.67630000000004
Java Developer,High,Java,Minneapolis,Minnesota,40.0,78.40350000000001
BUSINESS SYSTEMS CONSULTANT,Medium,"Architecture,Direct3D,Engineering,Training",Charlotte,North Carolina,76.0,70.94239999999999
DBA,Medium,"e-commerce,Management,SQL",Portland,Oregon,85.5,82.785
Performance Tester,Medium,".NET,Engineering,HTML,J2ME,Java,Management,SOAP,TCP/IP,WebServices",Plano,Texas,85.98,88.24329999999996
MDM Scrum Master,Medium,"Architecture,Automation,CRM,Management,Marketing,Quality Assurance,Software Development,Software Engineer",Windsor,Connecticut,84.0,89.72500000000002
APPS SYSTEMS ENGINEER 6,Medium,"Apache,hadoop,Java,Python",Charlotte,North Carolina,80.5,79.2062
Program Manager,High,"Logistics,Program Management,Project Management,Research,Training",Mountain View,California,50.0,82.0754
Agile BA,Low,"Microsoft Office,Project Management,Research,Six Sigma",Charlotte,North Carolina,76.02,118.33419999999998
Developer,High,"Architecture,Automation,Cloud Computing,CSS,DB2,EJB,HTML,JavaScript,JDBC,JSP,Management,Oracle,Oracle Database,PL/SQL,SDLC,Servlets,SOA,SOAP,Software Engineer,Spring,SQL,SS7,Struts,Tomcat,WebLogic,XML",Irving,Texas,85.5,84.5361
Project Manager,Medium,"Direct3D,Microsoft Project,Project Management",Woodcliff Lake,New Jersey,79.8,89.06875000000004
BUSINESS SYSTEMS CONSULTANT,Medium,"Systems Analysis, Training",Des Moines,Iowa,57.0,59.32490319606863
Tech sourcer,Medium,"Business Development,Chemistry,Focus,Java,Management,Marketing,Microsoft Excel,Microsoft Outlook,Networking,Recruiting,Research",Seattle,Washington,90.0,76.1637
IOS or Android Developer,Medium,"Apple,Focus",Sunnyvale,California,96.93,110.00479999999996
Agile Coach,Medium,"Cadence,Compliance,SPC",Schaumburg,Illinois,118.8,123.0435
Functional Designer,Medium,"Architecture,COM,Engineering,Java,SOA,UML",Montreal,Quebec,85.5,81.2909
EBSC6,Medium,"Business Analyst,COM,Marketing,Systems Analyst,UML,User Interface Design",Charlotte,North Carolina,76.0,78.28930000000005
Sr Mulesoft Consultant,Medium,"ETL,hadoop,Shell,SQL,UNIX",Pennington,New Jersey,96.93,97.12270000000002
Sr .NET Developer,Medium,.NET,Pennington,New Jersey,83.56,93.5030000000001
QA - Functional tester,Medium,Quality Assurance,Toronto,Ontario,85.5,79.67509999999997
Quality Engineer,Low,"Other,Word, GSM, CDMA",Bellevue,Washington,40.0,69.65179999999998
Security Architect,High,"Architecture,Automation,Azure,Compliance,Focus,IDS,Management,Risk Management",Fort Mill,South Carolina,150.0,88.75749999999998
IT Program Manager V,Medium,"Change Management,COM,Microsoft Excel,Microsoft Office,Microsoft Word,Project Management,Systems Integration",Charlotte,North Carolina,91.64,79.94200000000009
UX designer,Medium,e-commerce,El Cajon,California,99.0,83.76980000000005
BUSINESS SYSTEMS CONSULTANT,Medium,"COM,Systems Analysis,Training",Charlotte,North Carolina,66.5,71.5151
Program Manager,Medium,"Architecture,ASIC,Cloud Computing,Digital Design,Engineering,Management,Microsoft Excel,Multimedia,Product Management",San Diego,California,85.5,88.0089
Hardware Design Engineer - Graphics Silicon Implementation,Medium,"ASIC,CDMA,Digital Design,Engineering,Perl,Shell,Tcl,UNIX,Wireless",San Diego,California,85.5,84.2696
BUSINESS SYSTEMS CONSULTANT,Medium,"Systems Analysis, Engineering, Architecture, Training, Direct3D",St. Louis,Missouri,76.0,76.5021
Mulesoft Developer,High,".NET,C#,Java,SDLC",Spring,Texas,121.7,111.60529999999996
Cloud Engineer,Medium,aws,McLean,Virginia,105.0,130.19499999999996
Developer,High,Other,New York,New York,101.67,106.243
Software Engineer,Medium,".NET,C#,SQL Server,WCF",Charlotte,North Carolina,71.0,80.0646
Program mamager,Medium,"J2ME,Java,Project Management",Scottsdale,Arizona,85.5,90.6742
QA/Testing Analyst,Low,"Quality Assurance, SQL, Automation",Irving,Texas,57.0,63.95300000000002
quality assurance analyst sr - IT,Medium,"Architecture,Automation,Content Management,Direct3D,SDE,SDET,Software Development",Seattle,Washington,78.48,94.49179999999996
Business Analyst,High,"EDI,Microsoft Access,Research,XML",Chesterbrook,Pennsylvania,106.5,70.97489999999999
BUSINESS SYSTEMS CONSULTANT,Medium,"Systems Analysis, Training",Charlotte,North Carolina,47.0,63.83711622691034
Process Engineer Associate,Low,"ITIL,Microsoft Office,Research",Charlotte,North Carolina,57.0,66.43799999999995
Project Manager,High,PM 4,Charlotte,North Carolina,71.0,82.18710000000004
Project Manager - Senior,Medium,"Cisco,Engineering,Firewall,Management,Microsoft Project,PBX,PLC,Project Management,SAP,WebSphere,Windows 2000,Windows 2003,Windows 98",Montreal,Quebec,85.5,85.24949999999998
Project Coordinator,Medium,Logistics,Vienna,Virginia,62.73,76.71860000000002
Scrum Master,High,"Recruiting,Software Development",Phoenix,Arizona,75.0,92.55230000000002
Tech Writer,Medium,"Architecture,EDI,WAN",Seattle,Washington,90.0,90.92670000000004
Agile Project Manager,High,"Business Analyst,Focus,Web Development",Redwood City,California,130.0,90.76810000000002
Business Analyst,High,Business Analyst,Chicago,Illinois,85.0,85.14119999999998
Recruiter III,Medium,"Chemistry,Logistics,Recruiting,Research,Software Engineer",Seattle,Washington,88.51,88.23130000000016
Project Manager,Medium,"Management,Microsoft Access,Microsoft Project,Training",Charlotte,North Carolina,93.21,82.31646666666666
SDET,Medium,"Automation,Engineering,Management,Perl,Python,SDLC,Shell,Software Testing,Spring,STL,XML",Sunnyvale,California,94.05,95.52659999999996
SYSTEMS QA ANALYST,Medium,"Quality Assurance, Direct3D",West Des Moines,Iowa,64.5,67.99510000000001
Technical Writer,Medium,".NET,Direct3D,EDI,Microsoft Excel,Microsoft Office,Microsoft Outlook,Microsoft Word,Oracle,Training,Win32,Windows 2000,Windows 98",Baltimore,Maryland,42.0,87.24309999999997
Business Analyst,High,"Architecture,Cloud Computing,Management",Chicago,Illinois,85.5,87.20890000000001
IT Manager,Medium,"Business Analyst,Focus,ITIL,Management,Training",Dallas,Texas,85.5,88.67880000000001
SAP Functional Analyst,Medium,"EDI,Focus,J2ME,Management,SAP",Bellevue,Washington,85.5,90.5717
UI Engineer,Low,"CSS,EDI,JavaScript",Santa Clara,California,77.0,90.57569999999998
BUSINESS SYSTEMS CONSULTANT 4,Medium,"Change Management,Compliance,Database Management,DB2,Informix,Microsoft Access,Microsoft Excel,Microsoft Office,Oracle,Project Management,SQL,Sybase,Systems Analysis",Charlotte,North Carolina,57.0,65.80770000000001
BUSINESS PROCESS CONSULTANT,Medium,"Management, Engineering, Six Sigma, Business Analyst",Charlotte,North Carolina,85.5,74.4015
Project Manager,Medium,"AGILE,Direct3D,Healthcare Experience",Denver,Colorado,80.0,94.44060000000005
Risk Reporting Analyst,Low,"Compliance,Microsoft Excel",New York,New York,60.13,88.59989999999999
.Net Developer,Medium,.NET,Addison,Texas,83.56,94.46349999999995
DevOps Engineer,High,"Engineering,hadoop,JavaScript,Mac,Mac OS,OS X,SS7,VMS",Eden Prairie,Minnesota,120.0,99.6558
BUSINESS PROCESS CONSULTANT 2,Medium,"Architecture,Compliance,Data Analysis,Focus,Management",Charlotte,North Carolina,85.5,75.2251
Hardware Engineer,Medium,er,Santa Clara,California,76.66,94.7953
Project Manager,Medium,"Management,Marketing,Microsoft Office,Project Management,Training,Wireless",Alpharetta,Georgia,76.0,79.0378
DevOps Engineer,Medium,"Engineering,SDLC",Addison,Texas,96.93,93.10490000000009
APPS SYSTEMS ENGINEER 6,Medium,Other,Charlotte,North Carolina,80.5,75.18
ASE,Medium,"SQL, SSRS, SQL Server",Charlotte,North Carolina,80.5,77.3444
Web/Graphics Designer,Low,"Other,NATURAL, Photoshop, Marketing",San Francisco,California,87.65,113.3097
Project Manager - IT,High,"Other,management,PMP, SQL",Chicago,Illinois,150.0,71.2781
Audio IoT Applications Engineer,Medium,"Architecture,C++,DSP,Engineering,Linux,Software Development",San Diego,California,85.5,90.8569
Application developer,Medium,"Architecture,JavaScript,Oracle,Oracle Database",Austin,Texas,65.0,87.51400000000004
Database Architect,High,"Hadoop,SQL,Architecture,ETL,big data spark,Hadoop Developer., Data warehouse",Charlotte,North Carolina,120.0,92.44490000000002
Cloud Security Engineer,Low,"Architecture,DB2,Management,Oracle,Windows 2000,Windows 2003,Windows 98",Plano,Texas,71.19,99.03059999999998
Project Manager,High,"management, spc, ant, Direct3D",Charlotte,North Carolina,135.0,86.99220000000001
Recruiter II,Medium,"Chemistry,Cloud Computing,COM,Management,Microsoft Access,Microsoft Excel,Microsoft Office,Microsoft Outlook,Microsoft Word,Oracle,Recruiting,Research,Training",Seattle,Washington,78.72,78.91580000000008
Application Developer,Medium,"Architecture,hadoop,MySQL,Oracle,Spring,SQL,Sybase",Jersey City,New Jersey,85.5,100.02020000000005
UI Developer,Medium,"CSS,Direct3D,Focus,HTML,J2ME,Java,JavaScript,Management,SOA,SOAP,UNIX",Newark,Delaware,92.39,89.35200000000003
Scrum Master - IT,Medium,"Cadence,Microsoft Office,SDLC",Franklin,Tennessee,96.6,90.23180000000002
