CL,Descriptive_JobTitle,skills,primary skills,business_type,req_type,priority,Rec_Status,req_category,HSU,Assigned_HSU,rec_city,positions,Unresponded_Pos_Opcl,Unresponded_Pos_Hold,rejections,max submission,submissions,hits,hires,Sourced,Rec_location,Metro_Area,Total_starts,Total_hires,Total_perm_hires,Total_perm_starts,BD,CLis_missing,Descriptive_JobTitleis_missing,skillsis_missing,primary skillsis_missing,business_typeis_missing,req_typeis_missing,priorityis_missing,Rec_Statusis_missing,req_categoryis_missing,HSUis_missing,Assigned_HSUis_missing,rec_cityis_missing,Rec_locationis_missing,Metro_Areais_missing
4,3906,2320,637,2,4,6,5,1,17,1,482,1,1,0,0,2,0,0,0,2,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4056,16044,637,3,1,1,1,1,12,1,102,1,0,0,0,2,2,0,0,2,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1443,3379,457,2,4,4,1,1,3,1,528,5,0,0,0,10,1,0,0,1,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2260,12987,1262,2,4,6,1,1,12,1,373,1,0,0,0,2,3,0,0,6,36,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2460,5238,1416,2,4,4,3,1,17,2,482,1,0,0,0,2,2,0,0,3,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5626,13372,1638,2,1,4,1,1,14,2,109,1,0,0,0,2,11,1,0,24,17,173,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1922,14609,1447,2,1,4,3,1,13,1,482,1,0,0,1,2,3,1,1,3,9,155,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4340,4913,1277,2,1,5,4,1,12,1,498,1,0,0,2,2,4,1,1,5,54,161,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,21,97,163,2,1,2,1,1,12,1,413,3,0,0,0,6,0,0,0,0,34,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6603,6555,580,2,1,5,5,1,4,2,288,1,0,0,1,2,3,2,1,23,27,85,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6652,8018,454,2,4,6,1,1,6,1,365,1,0,0,0,2,2,0,0,11,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1809,2342,1416,2,4,4,3,1,17,2,482,1,0,0,0,2,2,0,0,4,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,688,9695,1416,2,4,4,3,1,14,2,102,1,0,0,0,2,3,0,0,3,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4140,5836,385,2,4,4,3,1,12,1,357,1,0,0,0,2,4,0,0,9,45,112,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5833,16756,1886,3,4,6,1,1,12,1,470,3,0,0,1,2,9,1,0,1,30,173,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,706,3192,577,2,4,6,3,1,9,2,528,1,0,0,0,2,1,0,0,2,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,790,7656,1976,2,4,4,2,1,14,2,102,1,0,0,0,2,4,0,0,4,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4314,14591,351,2,1,2,1,1,12,1,102,1,0,0,0,2,7,5,0,7,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,5152,8606,81,2,7,2,3,1,14,2,356,1,0,0,1,2,3,1,1,10,9,89,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,790,7442,385,2,7,2,3,1,14,1,479,1,0,0,1,2,2,2,1,3,50,154,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,4172,16355,1638,2,4,6,3,1,12,1,94,1,0,0,0,2,2,0,0,6,37,136,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1367,5165,385,2,4,4,3,1,12,1,102,1,0,0,0,2,3,0,0,3,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2339,15708,457,2,7,2,4,1,3,2,102,1,0,0,0,2,3,0,0,3,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3191,5815,577,2,4,6,5,1,9,1,350,1,0,0,0,2,1,0,0,1,28,104,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2155,4631,438,2,1,2,3,1,9,1,485,1,0,0,3,2,3,2,1,4,9,158,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,686,16131,1974,2,7,4,5,1,14,1,350,1,1,0,0,2,0,0,0,0,28,104,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1148,2557,79,2,4,4,3,1,4,1,257,1,0,0,0,2,4,0,0,3,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,7167,5952,1277,2,8,4,3,1,19,1,442,1,0,0,0,2,1,0,0,1,46,138,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4484,9993,1277,2,7,2,3,1,12,1,233,1,0,0,1,2,2,0,0,2,53,195,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,705,4555,577,2,4,6,4,1,9,2,484,1,0,0,0,2,6,1,0,0,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6624,14825,708,2,1,4,3,1,14,2,313,1,0,0,4,2,6,2,0,6,36,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,114,45,1974,2,4,6,1,1,12,1,102,1,0,0,0,2,0,0,0,0,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,4961,4439,1441,2,1,4,5,1,18,2,192,3,0,0,14,6,31,21,9,43,47,30,9,9,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5099,16499,1087,3,1,2,3,1,18,1,102,1,0,0,1,2,2,1,1,2,37,30,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3462,14196,91,2,1,2,3,1,11,2,102,1,0,0,0,2,2,0,0,2,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2894,12526,577,2,4,4,3,1,9,2,561,1,0,0,0,2,1,0,0,2,53,195,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5961,15708,577,2,4,6,3,1,9,2,102,1,0,0,0,2,1,0,0,2,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2158,13700,580,2,4,6,3,1,9,1,72,3,0,0,0,2,4,0,0,5,36,177,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5152,14509,81,2,1,2,3,1,14,1,445,1,0,0,1,2,4,1,0,5,53,195,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1647,6535,1416,2,4,6,1,1,4,2,23,1,0,0,0,2,0,0,0,0,27,5,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,6440,3676,1277,2,1,1,3,1,12,1,498,2,0,0,0,2,1,0,0,7,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,480,5093,577,2,4,1,3,1,9,2,109,1,0,0,1,2,1,1,1,2,17,173,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,688,10588,1416,2,1,2,3,1,14,2,597,1,0,0,0,2,1,0,0,1,37,199,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2331,8910,457,2,4,6,3,1,3,1,33,1,0,0,0,2,3,1,0,5,50,11,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5620,2723,385,2,1,2,3,1,4,1,420,1,1,0,0,2,0,0,0,1,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,4103,12015,385,2,1,8,3,1,14,2,209,1,0,0,0,2,1,1,0,62,17,34,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,21,156,385,2,7,2,3,1,12,1,373,1,0,0,0,2,1,0,0,2,36,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4641,15816,1416,2,4,6,1,1,16,2,248,1,0,0,0,2,1,0,0,1,50,73,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,7294,7698,1416,2,1,2,4,1,11,2,257,3,0,0,0,2,2,2,0,2,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2894,9211,577,2,4,4,1,1,9,2,102,1,0,0,0,2,3,0,0,4,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5195,10669,1416,2,4,4,1,1,8,1,194,1,0,0,0,2,2,0,0,2,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2894,7888,577,2,4,4,1,1,9,2,528,2,0,0,0,4,1,0,0,1,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2556,15936,1416,2,1,2,1,1,14,2,102,1,0,0,0,2,5,0,0,4,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4236,1492,1416,2,4,4,3,1,16,1,357,1,0,0,0,2,2,1,0,4,45,112,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,280,16051,81,2,7,8,1,1,14,2,102,1,0,0,0,2,8,1,0,3,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3570,2857,1277,2,4,6,1,1,12,1,168,2,0,0,0,2,1,1,0,1,4,56,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,6450,3589,1416,2,4,4,1,1,17,1,33,1,0,0,0,2,1,0,0,2,50,11,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4022,8617,1291,2,1,2,1,1,14,2,102,1,0,0,0,2,3,0,0,7,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,790,12939,1976,2,1,2,1,1,14,1,109,1,0,0,0,2,11,4,0,15,17,173,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2894,13745,1638,2,1,2,1,1,9,2,240,1,0,0,0,2,8,2,0,8,17,171,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,543,2797,1416,2,1,8,3,1,4,2,109,1,0,0,0,2,2,0,0,2,17,173,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,4017,6292,162,2,4,4,4,1,17,1,33,1,0,1,0,2,0,0,0,0,50,11,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2520,16542,1277,2,7,2,3,1,12,1,498,1,0,0,3,5,5,3,1,7,54,161,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6072,1133,580,2,1,2,3,1,6,2,145,2,0,0,1,4,2,1,1,2,10,49,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,376,10291,577,2,7,2,1,1,9,1,43,1,0,0,0,2,9,2,0,9,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,7384,16770,1180,2,4,1,1,1,14,2,413,1,0,0,0,2,6,2,0,11,34,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,12,7978,163,2,7,2,1,1,12,1,413,1,0,0,0,2,2,0,0,0,34,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5152,11981,81,2,1,2,1,1,14,2,102,1,0,0,0,2,1,0,0,2,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1890,7145,743,3,1,5,5,1,4,2,33,4,0,0,6,2,37,13,2,40,50,11,3,2,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1325,9973,1447,2,4,6,1,1,8,2,43,1,0,0,0,2,6,0,0,1,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6729,12889,637,2,4,4,3,1,17,2,485,1,0,0,0,2,2,0,0,5,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2588,14338,385,2,4,4,5,1,12,1,484,1,0,0,0,2,3,0,0,6,9,157,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4401,3506,278,1,1,2,4,1,11,2,428,2,0,0,0,4,11,3,0,21,43,131,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,84,3928,1321,2,7,8,3,1,5,2,102,1,0,0,1,2,2,1,0,5,37,30,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3330,16183,385,2,4,6,3,1,12,1,62,1,0,0,0,2,2,0,0,4,10,22,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2894,3130,577,2,4,6,3,1,9,2,27,1,0,0,0,2,1,0,0,0,53,195,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,140,4940,480,2,4,4,3,1,17,2,491,2,0,0,0,4,1,0,0,1,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,678,5926,1416,2,1,4,3,1,14,2,102,1,0,0,0,2,1,0,0,1,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,682,12302,1974,2,1,2,3,1,14,2,102,4,0,0,0,8,35,5,0,40,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5251,13343,1448,2,4,1,4,1,8,2,428,1,0,0,0,2,2,0,0,6,43,131,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5892,9525,1489,2,1,1,3,1,12,1,413,1,1,0,0,2,0,0,0,2,34,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2894,13700,577,2,4,4,5,1,9,1,350,1,0,0,0,2,2,0,0,2,28,104,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,686,5291,1416,2,7,8,3,1,12,1,102,1,0,0,0,2,2,0,0,2,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1367,16533,385,2,1,4,1,1,12,1,428,1,0,0,0,2,0,0,0,0,43,131,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3893,1305,1327,2,4,6,1,1,12,1,420,1,0,0,0,2,3,1,0,3,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3269,3835,81,2,1,2,1,1,14,2,593,1,0,0,0,2,2,0,0,3,11,72,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,117,3472,385,2,4,4,1,1,12,1,102,1,0,0,0,2,0,0,0,0,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,4077,14149,1416,2,4,6,3,1,14,1,365,1,0,0,0,2,2,0,0,1,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,250,14810,81,2,1,2,3,1,14,2,102,1,0,0,0,2,6,0,0,7,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1675,3880,577,2,4,6,1,1,9,1,257,1,0,0,0,2,0,0,0,0,50,45,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4172,11955,1416,2,4,4,1,1,14,1,599,1,0,0,0,2,0,0,0,2,34,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,686,16130,1974,2,4,6,7,1,14,1,147,1,0,0,0,2,0,0,0,0,19,51,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6556,7760,1277,2,1,8,1,1,12,1,498,1,0,0,7,2,8,2,0,6,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2458,3536,454,2,1,5,1,1,11,2,528,1,0,0,0,2,3,1,0,3,9,158,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,252,9569,81,2,1,2,3,1,14,1,494,2,0,0,1,4,1,1,1,1,17,34,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2213,4531,1616,2,4,4,5,1,12,1,357,1,0,0,0,2,1,0,0,1,45,112,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,1862,7340,1416,2,1,2,3,1,14,2,102,2,0,0,2,4,2,2,2,5,37,30,2,2,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5967,12256,707,2,4,6,1,1,9,2,413,1,0,0,0,2,1,0,0,0,34,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,5869,40,163,2,4,6,1,1,12,1,413,1,0,0,0,2,1,0,0,14,34,110,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4312,15730,1447,2,4,6,5,1,12,1,541,2,0,0,1,2,2,2,2,5,42,112,0,2,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,4394,15381,1103,3,4,6,1,1,12,1,43,1,0,0,0,2,2,0,0,5,54,161,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5206,3717,1416,1,4,1,5,1,8,1,192,1,0,0,0,2,0,0,0,3,47,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2597,9657,81,2,4,6,1,1,14,2,102,1,0,0,0,2,4,0,0,4,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,6878,16501,454,2,4,4,1,1,6,2,169,2,0,0,0,4,1,0,0,1,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,686,9070,1416,2,7,2,1,1,14,2,102,1,0,0,0,2,4,0,0,4,37,30,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,4077,3623,385,2,4,4,3,1,17,1,482,1,0,0,0,2,2,0,0,3,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,2362,2308,1416,2,4,6,3,1,17,2,482,1,0,0,0,2,1,1,0,7,9,155,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,686,16109,1974,2,4,4,7,1,14,1,518,1,0,0,0,2,0,0,0,0,30,173,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
